"Country","CountryCode","CountryCodeID","ProductID","ProductName","Unit","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Oman","OM",328,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",16.9,52,76,86,88.77,92.1,96.05,96.3,97.6,98.3731136167019,99.1834982518843,99.9036024812728,98.045982221658,99.9146296064356,100.574625327552,101.159812836386,99.180156911706,99.9146296097372,100.57462532809
"Pakistan","PK",332,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,7,16,27,67,68.6,68.73,68.82,70.4645410842914,71.4394693368706,71.9412098724322,66.55213537561,68.8061104962951,70.3816770795947,71.0451621190308,65.9160526841558,68.3340252963851,70.0124701364121
"Peru","PU",338,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",35,35,35,44,44.02,52.24,60,60,65,71.1598402820224,74.3872482590923,76.7764654728812,77.9000886692263,81.2474409970648,83.1017179709917,83.5520442504008,83.1074371963416,85.2187503900465,86.1108362354068
"Philippines","PH",331,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",6,27,48,39,80,80,80,80,80,85.2513557693437,81.6435794665519,77.496625924005,89.4924569226345,86.3558012225735,82.4378448584321,77.7473502035327,89.5195803797419,86.3688309026959,82.4441036008986
"Poland","PL",333,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",50,66.7,80,100,100,100,100,100,100,99.8948289707994,100.356850664409,102.215379225178,100.840318735054,99.8998668022657,100.358386606792,102.215847494227,100.840461033242,99.8999101848675,100.358399832886
"Portugal","PT",337,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",90,93,95,94.3,98.8,98.9,99.2,99.7,99.9,101.064234647727,100.833157304979,100.028493576758,101.644263444311,101.785211292852,101.385207465272,100.450850636826,101.966955770595,102.031819840742,101.573601984695
"Qatar","QT",339,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",58,58,58,95,99.04,99.5,99.5,99.5,99.8,101.603713357859,102.171633197966,103.848796133063,103.166065086451,102.121330088466,102.372605062716,103.926667607392,103.196136177555,102.132969100586,102.377109408572
"Romania","RO",341,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",54,59,55.8,66.1,75.2,88.54,92.56,98.13,99.22,112.333570597796,121.426339084853,128.187326046614,133.661008928867,143.372730251314,149.842709413331,153.048414631983,154.532624146537,160.296812618711,163.16956235857
"Russia","RU",344,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",25,35.9,50,50,59,62,70,87.7,88.6,103.588616797973,120.737673841193,138.495329605641,146.46912594234,157.831227163452,166.298041980647,172.656333959093,169.054463166566,172.00445167411,174.764044840879
"Rwanda","RW",347,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",8,8,8,20,62,89,96.6,98.9,98.07,98.4905227297803,97.6164786303548,96.1673092347678,98.3669812097897,97.8610704344771,97.1275323039502,96.1675656905196,98.3670234495329,97.8610774259613,97.1275334611745
"Saudi Arabia","SA",348,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",78,80,82,85,88,90,93.1,94.2,98.25,100.483734068718,102.70646994793,104.703095497961,107.977751709747,109.995686259963,111.767806923748,113.290841502859,116.075649911692,117.59771659528,118.873469509138
"Serbia","RS",408,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,56.74,78.2,94.4,96.7,96.86,98.1,95.1116379493228,96.0298584887135,97.9556605653528,95.2081921494437,95.1141320530592,96.0302881863334,97.9557345947004,95.2082048420658,95.1141342397676,96.0302885630649
